date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-03-03,Alabama,1000031,1469100,658906,6.91,20.4,338967,13.44,29.96,27870,22904,4671,0.681
2021-03-02,Alabama,972161,1461320,647752,6.57,19.83,322346,13.21,29.8,23768,22436,4576,0.665
2021-03-01,Alabama,948393,1402280,637989,6.29,19.34,308416,13.01,28.6,5891,22111,4510,0.676
2021-02-28,Alabama,942502,1402280,634792,6.24,19.22,305731,12.95,28.6,11412,21984,4484,0.672
2021-02-27,Alabama,931090,1402180,628583,6.13,18.99,300548,12.82,28.6,37231,22022,4491,0.664
2021-02-26,Alabama,893859,1380380,613097,5.69,18.23,278985,12.5,28.15,29102,22104,4508,0.648
2021-02-25,Alabama,864757,1170120,601343,5.34,17.64,261689,12.26,23.86,25054,27531,5615,0.739
2021-02-24,Alabama,839703,1138650,591009,5.04,17.13,247024,12.05,23.22,24595,27098,5527,0.737
2021-02-23,Alabama,815108,1084440,580477,4.75,16.62,233073,11.84,22.12,21494,25489,5198,0.752
2021-02-22,Alabama,793614,1082100,570355,4.52,16.19,221785,11.63,22.07,5001,24164,4928,0.733
2021-02-21,Alabama,788613,1082100,567505,4.48,16.08,219639,11.57,22.07,11677,25194,5138,0.729
2021-02-20,Alabama,776936,1078800,560968,4.38,15.85,214512,11.44,22,37804,25111,5121,0.72
2021-02-19,Alabama,739132,1077600,545431,3.92,15.08,192304,11.12,21.98,67094,24002,4895,0.686
2021-02-18,Alabama,672038,1032175,505660,3.37,13.71,165104,10.31,21.05,22018,18400,3753,0.651
2021-02-17,Alabama,650020,1032175,494424,3.15,13.26,154341,10.08,21.05,13338,19174,3911,0.63
2021-02-16,Alabama,636682,1015775,486206,3.04,12.98,149288,9.92,20.72,12214,20816,4245,0.627
2021-02-15,Alabama,,,,,,,,,12214,22405,4569,
2021-02-14,Alabama,612254,965550,474065,2.8,12.49,137032,9.67,19.69,11095,21417,4368,0.634
2021-02-13,Alabama,601159,963600,467032,2.71,12.26,133029,9.52,19.65,30044,20855,4253,0.624
2021-02-12,Alabama,571115,936200,448071,2.49,11.65,122019,9.14,19.09,27878,20074,4094,0.61
2021-02-11,Alabama,543237,911875,431259,2.26,11.08,111036,8.8,18.6,27435,19258,3928,0.596
2021-02-10,Alabama,515802,861175,412462,2.09,10.52,102520,8.41,17.56,24833,18209,3714,0.599
2021-02-09,Alabama,490969,823600,395196,1.94,10.01,95033,8.06,16.8,23333,17012,3470,0.596
2021-02-08,Alabama,467636,804100,378514,1.8,9.54,88453,7.72,16.4,5304,15622,3186,0.582
2021-02-07,Alabama,462332,804100,375567,1.76,9.43,86141,7.66,16.4,7159,15480,3157,0.575
2021-02-06,Alabama,455173,804100,370275,1.72,9.28,84278,7.55,16.4,24576,16105,3285,0.566
2021-02-05,Alabama,430597,799875,353522,1.56,8.78,76603,7.21,16.31,22169,18526,3778,0.538
2021-02-04,Alabama,408428,799675,338845,1.41,8.33,69155,6.91,16.31,20089,18491,3771,0.511
2021-02-03,Alabama,388339,765150,324998,1.28,7.92,62990,6.63,15.6,16457,17414,3552,0.508
2021-02-02,Alabama,371882,680550,312711,1.2,7.58,58825,6.38,13.88,13602,16703,3407,0.546
2021-02-01,Alabama,358280,659400,301628,1.15,7.31,56308,6.15,13.45,4306,15381,3137,0.543
2021-01-31,Alabama,353974,659400,298301,1.13,7.22,55331,6.08,13.45,11538,15748,3212,0.537
2021-01-30,Alabama,342436,659400,288368,1.1,6.98,53742,5.88,13.45,41521,17271,3522,0.519
2021-01-29,Alabama,300915,659400,256601,0.9,6.14,44073,5.23,13.45,21922,14514,2960,0.456
2021-01-28,Alabama,278993,655275,241337,0.76,5.69,37431,4.92,13.36,12549,16153,3294,0.426
2021-01-27,Alabama,266444,634000,232633,0.68,5.43,33595,4.74,12.93,11485,18178,3707,0.42
2021-01-26,Alabama,254959,569000,223854,0.63,5.2,30933,4.57,11.6,4347,17738,3618,0.448
2021-01-25,Alabama,250612,521225,220464,0.61,5.11,29978,4.5,10.63,6875,18196,3711,0.481
2021-01-24,Alabama,243737,521225,213833,0.61,4.97,29736,4.36,10.63,22197,18294,3731,0.468
2021-01-23,Alabama,221540,521225,193955,0.56,4.52,27422,3.96,10.63,22226,16202,3304,0.425
2021-01-22,Alabama,199314,519525,174317,0.51,4.06,24840,3.56,10.6,33395,14107,2877,0.384
2021-01-21,Alabama,165919,493125,144429,0.43,3.38,21345,2.95,10.06,26719,10517,2145,0.336
2021-01-20,Alabama,139200,483275,121113,0.37,2.84,17956,2.47,9.86,8405,7880,1607,0.288
2021-01-19,Alabama,130795,444650,114319,0.33,2.67,16346,2.33,9.07,7557,7523,1534,0.294
2021-01-18,Alabama,,,,,,,,,7557,7517,1533,
2021-01-17,Alabama,,,,,,,,,7557,7509,1531,
2021-01-16,Alabama,,,,,,,,,7557,7498,1529,
2021-01-15,Alabama,100567,444650,86956,0.27,2.05,13488,1.77,9.07,8267,7478,1525,0.226
2021-01-14,Alabama,92300,435350,80480,,1.88,,1.64,8.88,8260,7083,1445,0.212
2021-01-13,Alabama,84040,378975,74792,0.19,1.71,9245,1.52,7.73,5906,5906,1205,0.222
2021-01-12,Alabama,78134,377025,70861,0.15,1.59,7270,1.44,7.69,,,,0.207
2021-03-03,Alaska,273350,399225,170243,14.01,37.37,102472,23.27,54.57,3409,4243,5800,0.685
2021-03-02,Alaska,269941,372725,168315,13.81,36.9,101000,23.01,50.95,1535,4288,5862,0.724
2021-03-01,Alaska,268406,342535,167759,13.67,36.69,100024,22.93,46.82,3665,4304,5883,0.784
2021-02-28,Alaska,264741,342535,166432,13.35,36.19,97692,22.75,46.82,5203,4229,5781,0.773
2021-02-27,Alaska,259538,342535,163443,13.05,35.48,95485,22.34,46.82,5204,4591,6276,0.758
2021-02-26,Alaska,254334,332415,161333,12.63,34.77,92407,22.05,45.44,4775,5444,7442,0.765
2021-02-25,Alaska,249559,319265,158560,12.36,34.11,90416,21.68,43.64,5909,7201,9844,0.782
2021-02-24,Alaska,243650,315765,156027,11.9,33.31,87061,21.33,43.16,3723,7148,9771,0.772
2021-02-23,Alaska,239927,304875,154392,11.62,32.8,84984,21.1,41.68,1648,6988,9552,0.787
2021-02-22,Alaska,238279,299935,153349,11.54,32.57,84385,20.96,41,3138,7266,9932,0.794
2021-02-21,Alaska,235141,299935,152349,11.25,32.14,82272,20.83,41,7738,7330,10020,0.784
2021-02-20,Alaska,227403,299935,148299,10.75,31.08,78623,20.27,41,11180,7466,10206,0.758
2021-02-19,Alaska,216223,299935,143887,9.83,29.56,71892,19.67,41,17072,6970,9528,0.721
2021-02-18,Alaska,199151,271550,133491,8.92,27.22,65245,18.25,37.12,5534,5268,7201,0.733
2021-02-17,Alaska,193617,271550,130751,8.54,26.47,62474,17.87,37.12,2609,5337,7296,0.713
2021-02-16,Alaska,191008,271550,129658,8.33,26.11,60964,17.72,37.12,3588.5,5448,7447,0.703
2021-02-15,Alaska,,,,,,,,,3588.5,5212,7125,
2021-02-14,Alaska,183831,271550,126381,7.81,25.13,57117,17.28,37.12,8693,5393,7372,0.677
2021-02-13,Alaska,175138,271550,122463,7.16,23.94,52380,16.74,37.12,7702,5142,7029,0.645
2021-02-12,Alaska,167436,271350,118189,6.69,22.89,48969,16.16,37.09,5163,4776,6529,0.617
2021-02-11,Alaska,162273,270250,116001,6.29,22.18,46006,15.86,36.94,6018,4620,6315,0.6
2021-02-10,Alaska,156255,260300,112448,5.95,21.36,43552,15.37,35.58,3381,4356,5955,0.6
2021-02-09,Alaska,152874,256900,110936,5.7,20.9,41698,15.16,35.12,1940,4204,5747,0.595
2021-02-08,Alaska,150934,248500,109890,5.58,20.63,40812,15.02,33.97,4852,4131,5647,0.607
2021-02-07,Alaska,146082,248500,106311,5.4,19.97,39541,14.53,33.97,6935,3785,5174,0.588
2021-02-06,Alaska,139147,248500,103163,4.89,19.02,35773,14.1,33.97,5145,3411,4663,0.56
2021-02-05,Alaska,134002,245700,101225,4.46,18.32,32593,13.84,33.59,4066,3372,4609,0.545
2021-02-04,Alaska,129936,240325,99596,4.12,17.76,30172,13.61,32.85,4171,3440,4702,0.541
2021-02-03,Alaska,125765,229975,98076,3.76,17.19,27528,13.41,31.44,2322,3453,4720,0.547
2021-02-02,Alaska,123443,196975,97076,3.58,16.87,26207,13.27,26.93,1423,3613,4939,0.627
2021-02-01,Alaska,122020,193150,96396,3.48,16.68,25467,13.18,26.4,2430,3570,4880,0.632
2021-01-31,Alaska,119590,193150,94889,3.36,16.35,24545,12.97,26.4,4322,3619,4947,0.619
2021-01-30,Alaska,115268,193150,91794,3.19,15.76,23320,12.55,26.4,4872,3846,5257,0.597
2021-01-29,Alaska,110396,192350,88654,2.95,15.09,21593,12.12,26.29,4538,4186,5722,0.574
2021-01-28,Alaska,105858,178075,85672,2.74,14.47,20045,11.71,24.34,4261,4850,6630,0.594
2021-01-27,Alaska,101597,170575,83363,2.47,13.89,18097,11.4,23.32,3448,4758,6504,0.596
2021-01-26,Alaska,98149,162925,81200,2.3,13.42,16815,11.1,22.27,1118,4545,6213,0.602
2021-01-25,Alaska,97031,155700,80226,2.28,13.26,16673,10.97,21.28,2774,5003,6839,0.623
2021-01-24,Alaska,94257,155700,77925,2.22,12.88,16201,10.65,21.28,5913,5225,7142,0.605
2021-01-23,Alaska,88344,155700,73014,2.08,12.08,15206,9.98,21.28,7248,4997,6831,0.567
2021-01-22,Alaska,81096,155500,67262,1.88,11.09,13718,9.2,21.26,9189,4580,6261,0.522
2021-01-21,Alaska,71907,154325,59449,1.69,9.83,12352,8.13,21.1,3614,4187,5724,0.466
2021-01-20,Alaska,68293,150350,56911,1.54,9.34,11283,7.78,20.55,1962,4230,5782,0.454
2021-01-19,Alaska,66331,150450,55434,1.48,9.07,10802,7.58,20.57,4323,4356,5955,0.441
2021-01-18,Alaska,,,,,,,,,4323,4362,5963,
2021-01-17,Alaska,,,,,,,,,4323,4369,5972,
2021-01-16,Alaska,,,,,,,,,4323,4381,5989,
2021-01-15,Alaska,49039,150450,39546,1.29,6.7,9406,5.41,20.57,6443,4400,6015,0.326
2021-01-14,Alaska,42596,150450,35508,,5.82,,4.85,20.57,3916,3379,4619,0.283
2021-01-13,Alaska,38680,149475,24541,0.84,5.29,6166,3.36,20.43,2842,2842,3885,0.259
2021-01-12,Alaska,35838,141600,22486,0.74,4.9,5400,3.07,19.36,,,,0.253
2021-03-03,American Samoa,21079,29450,12949,14.54,37.85,8099,23.25,52.88,0,191,3430,0.716
2021-03-02,American Samoa,21079,29450,12949,14.54,37.85,8099,23.25,52.88,741,323,5800,0.716
2021-03-01,American Samoa,20338,29450,12276,14.43,36.52,8037,22.04,52.88,0,217,3897,0.691
2021-02-28,American Samoa,20338,29450,12276,14.43,36.52,8037,22.04,52.88,0,223,4004,0.691
2021-02-27,American Samoa,20338,29450,12276,14.43,36.52,8037,22.04,52.88,2,371,6662,0.691
2021-02-26,American Samoa,20336,29450,12275,14.43,36.52,8037,22.04,52.88,597,581,10433,0.691
2021-02-25,American Samoa,19739,29450,11738,14.33,35.44,7979,21.08,52.88,0,496,8907,0.67
2021-02-24,American Samoa,19739,29450,11738,14.33,35.44,7979,21.08,52.88,923,496,8907,0.67
2021-02-23,American Samoa,18816,29450,10978,14.04,33.79,7818,19.71,52.88,0,387,6949,0.639
2021-02-22,American Samoa,18816,29450,10978,14.04,33.79,7818,19.71,52.88,38,439,7883,0.639
2021-02-21,American Samoa,18778,29450,10948,14.03,33.72,7811,19.66,52.88,1038,485,8709,0.638
2021-02-20,American Samoa,17740,29450,10831,12.38,31.86,6893,19.45,52.88,1471,337,6051,0.602
2021-02-19,American Samoa,16269,29450,10267,10.75,29.21,5989,18.44,52.88,0,177,3178,0.552
2021-02-18,American Samoa,16269,29450,10267,10.75,29.21,5989,18.44,52.88,0,394,7075,0.552
2021-02-17,American Samoa,16269,29450,10267,10.75,29.21,5989,18.44,52.88,160,422,7578,0.552
2021-02-16,American Samoa,16109,29450,10236,10.52,28.93,5860,18.38,52.88,363.5,490,8799,0.547
2021-02-15,American Samoa,,,,,,,,,363.5,498,8943,
2021-02-14,American Samoa,15382,29450,10062,9.53,27.62,5308,18.07,52.88,0,446,8009,0.522
2021-02-13,American Samoa,15382,29450,10062,9.53,27.62,5308,18.07,52.88,350,446,8009,0.522
2021-02-12,American Samoa,15032,29450,10057,8.92,26.99,4968,18.06,52.88,1519,429,7703,0.51
2021-02-11,American Samoa,13513,29450,9822,6.62,24.26,3685,17.64,52.88,195,322,5782,0.459
2021-02-10,American Samoa,13318,29450,9818,6.27,23.92,3494,17.63,52.88,638,322,5782,0.452
2021-02-09,American Samoa,12680,29450,9792,5.18,22.77,2885,17.58,52.88,421,274,4920,0.431
2021-02-08,American Samoa,12259,29450,9779,4.45,22.01,2478,17.56,52.88,0,214,3843,0.416
2021-02-07,American Samoa,12259,29450,9779,4.45,22.01,2478,17.56,52.88,0,333,5980,0.416
2021-02-06,American Samoa,12259,29450,9779,4.45,22.01,2478,17.56,52.88,230,333,5980,0.416
2021-02-05,American Samoa,12029,29450,9775,4.04,21.6,2252,17.55,52.88,772,301,5405,0.408
2021-02-04,American Samoa,11257,29450,9761,2.68,20.21,1494,17.53,52.88,191,310,5567,0.382
2021-02-03,American Samoa,11066,18450,9759,2.34,19.87,1305,17.52,33.13,305,283,5082,0.6
2021-02-02,American Samoa,10761,18450,9713,1.88,19.32,1046,17.44,33.13,0,349,6267,0.583
2021-02-01,American Samoa,10761,18450,9713,1.88,19.32,1046,17.44,33.13,836,388,6967,0.583
2021-01-31,American Samoa,9925,18450,8926,1.79,17.82,997,16.03,33.13,0,268,4812,0.538
2021-01-30,American Samoa,9925,18450,8926,1.79,17.82,997,16.03,33.13,0,442,7937,0.538
2021-01-29,American Samoa,9925,18450,8926,1.79,17.82,997,16.03,33.13,840,479,8601,0.538
2021-01-28,American Samoa,9085,18450,8133,1.71,16.31,950,14.6,33.13,0,489,8781,0.492
2021-01-27,American Samoa,9085,18450,8133,1.71,16.31,950,14.6,33.13,770,539,9679,0.492
2021-01-26,American Samoa,8315,18450,7365,1.7,14.93,948,13.23,33.13,269,508,9122,0.451
2021-01-25,American Samoa,8046,18450,7096,1.7,14.45,948,12.74,33.13,0,501,8996,0.436
2021-01-24,American Samoa,8046,18450,7096,1.7,14.45,948,12.74,33.13,1215,532,9553,0.436
2021-01-23,American Samoa,6831,18450,5881,1.7,12.27,948,10.56,33.13,262,390,7003,0.37
2021-01-22,American Samoa,6569,18450,5627,1.69,11.8,940,10.1,33.13,905,384,6895,0.356
2021-01-21,American Samoa,5664,18450,4734,1.67,10.17,929,8.5,33.13,351,385,6913,0.307
2021-01-20,American Samoa,5313,18450,4476,1.5,9.54,836,8.04,33.13,557,391,7021,0.288
2021-01-19,American Samoa,4756,18450,3985,1.38,8.54,770,7.16,33.13,218.25,376,6752,0.258
2021-01-18,American Samoa,,,,,,,,,218.25,402,7219,
2021-01-17,American Samoa,,,,,,,,,218.25,439,7883,
2021-01-16,American Samoa,,,,,,,,,218.25,494,8871,
2021-01-15,American Samoa,3883,18450,3144,1.32,6.97,738,5.65,33.13,912,586,10523,0.21
2021-01-14,American Samoa,2971,10650,2409,,5.34,,4.33,19.12,394,424,7614,0.279
2021-01-13,American Samoa,2577,10650,1193,0.65,4.63,362,2.14,19.12,453,453,8134,0.242
2021-01-12,American Samoa,2124,10650,842,0.47,3.81,260,1.51,19.12,,,,0.199
2021-03-03,Arizona,1930999,2392275,1308334,8.43,26.53,613681,17.97,32.87,41257,53580,7361,0.807
2021-03-02,Arizona,1889742,2244885,1293835,8.07,25.96,587451,17.78,30.84,40483,51993,7143,0.842
2021-03-01,Arizona,1849259,2148015,1275068,7.78,25.41,566500,17.52,29.51,56812,48955,6726,0.861
2021-02-28,Arizona,1792447,2148015,1250251,7.35,24.63,535189,17.18,29.51,64208,46110,6335,0.834
2021-02-27,Arizona,1728239,2148015,1223520,6.84,23.74,498106,16.81,29.51,56945,43278,5946,0.805
2021-02-26,Arizona,1671294,2143135,1196045,6.44,22.96,468913,16.43,29.44,63750,42127,5788,0.78
2021-02-25,Arizona,1607544,2064265,1163157,6.02,22.09,438355,15.98,28.36,51602,57825,7944,0.779
2021-02-24,Arizona,1555942,1977925,1137371,5.67,21.38,412825,15.63,27.17,30148,55863,7675,0.787
2021-02-23,Arizona,1525794,1755635,1121773,5.47,20.96,398472,15.41,24.12,19222,53030,7286,0.869
2021-02-22,Arizona,1506572,1688255,1108935,5.39,20.7,392139,15.24,23.19,36896,54958,7551,0.892
2021-02-21,Arizona,1469676,1688255,1087921,5.17,20.19,376371,14.95,23.19,44381,54360,7468,0.871
2021-02-20,Arizona,1425295,1688255,1064109,4.89,19.58,356055,14.62,23.19,48890,54896,7542,0.844
2021-02-19,Arizona,1376405,1679175,1036237,4.61,18.91,335248,14.24,23.07,173635,55158,7578,0.82
2021-02-18,Arizona,1202770,1396475,914468,3.9,16.52,283955,12.56,19.19,37870,37314,5126,0.861
2021-02-17,Arizona,1164900,1396475,892791,3.68,16,267967,12.27,19.19,10317,38163,5243,0.834
2021-02-16,Arizona,1154583,1396475,886107,3.63,15.86,264416,12.17,19.19,32714,41539,5707,0.827
2021-02-15,Arizona,,,,,,,,,32714,40122,5512,
2021-02-14,Arizona,1089155,1393575,840252,3.37,14.96,244971,11.54,19.15,48134,39989,5494,0.782
2021-02-13,Arizona,1041021,1393475,811080,3.11,14.3,226158,11.14,19.14,50725,39176,5382,0.747
2021-02-12,Arizona,990296,1393475,780057,2.86,13.6,207912,10.72,19.14,48721,38691,5316,0.711
2021-02-11,Arizona,941575,1391475,747599,2.64,12.94,192542,10.27,19.12,43818,36494,5014,0.677
2021-02-10,Arizona,897757,1370175,719051,2.44,12.33,177565,9.88,18.82,33950,34531,4744,0.655
2021-02-09,Arizona,863807,1265950,695970,2.29,11.87,166798,9.56,17.39,22789,33164,4556,0.682
2021-02-08,Arizona,841018,1186000,678697,2.22,11.55,161324,9.32,16.29,31788,31487,4326,0.709
2021-02-07,Arizona,809230,1186000,656909,2.08,11.12,151392,9.02,16.29,42442,30732,4222,0.682
2021-02-06,Arizona,766788,1186000,629750,1.87,10.54,136236,8.65,16.29,47330,29917,4110,0.647
2021-02-05,Arizona,719458,1186000,597525,1.67,9.88,121227,8.21,16.29,33342,28337,3893,0.607
2021-02-04,Arizona,686116,1185700,573845,1.53,9.43,111645,7.88,16.29,30076,28424,3905,0.579
2021-02-03,Arizona,656040,1181000,553373,1.4,9.01,102107,7.6,16.23,24378,28255,3882,0.555
2021-02-02,Arizona,631662,1082050,534476,1.33,8.68,96660,7.34,14.87,11054,28681,3940,0.584
2021-02-01,Arizona,620608,1013375,524413,1.31,8.53,95671,7.2,13.92,26504,29564,4062,0.612
2021-01-31,Arizona,594104,1013375,500942,1.27,8.16,92666,6.88,13.92,36735,29069,3994,0.586
2021-01-30,Arizona,557369,1013375,469916,1.2,7.66,86990,6.46,13.92,36272,28059,3855,0.55
2021-01-29,Arizona,521097,1012275,439897,1.11,7.16,80773,6.04,13.91,33948,27393,3763,0.515
2021-01-28,Arizona,487149,1011375,412841,1.02,6.69,73927,5.67,13.9,28891,26179,3597,0.482
2021-01-27,Arizona,458258,990000,389059,0.95,6.3,68846,5.34,13.6,27366,25196,3462,0.463
2021-01-26,Arizona,430892,837200,366018,0.89,5.92,64551,5.03,11.5,17230,23517,3231,0.515
2021-01-25,Arizona,413662,829500,350648,0.86,5.68,62711,4.82,11.4,23039,23526,3232,0.499
2021-01-24,Arizona,390623,829500,332095,0.8,5.37,58291,4.56,11.4,29665,22706,3120,0.471
2021-01-23,Arizona,360958,829500,305744,0.76,4.96,55014,4.2,11.4,31609,20939,2877,0.435
2021-01-22,Arizona,329349,822050,280227,0.67,4.52,48938,3.85,11.29,25450,18895,2596,0.401
2021-01-21,Arizona,303899,797550,262120,0.57,4.18,41613,3.6,10.96,22012,18605,2556,0.381
2021-01-20,Arizona,281887,752250,246960,0.48,3.87,34788,3.39,10.34,15611,18163,2495,0.375
2021-01-19,Arizona,266276,571725,235331,0.42,3.66,30892,3.23,7.86,17297.5,17846,2452,0.466
2021-01-18,Arizona,,,,,,,,,17297.5,17937,2464,
2021-01-17,Arizona,,,,,,,,,17297.5,18065,2482,
2021-01-16,Arizona,,,,,,,,,17297.5,18257,2508,
2021-01-15,Arizona,197086,571725,176213,0.29,2.71,20837,2.42,7.86,23421,18577,2552,0.345
2021-01-14,Arizona,173665,570625,157397,,2.39,,2.16,7.84,18920,16155,2219,0.304
2021-01-13,Arizona,154745,569525,104387,0.17,2.13,12392,1.43,7.82,13390,13390,1840,0.272
2021-01-12,Arizona,141355,563025,95141,0.12,1.94,8343,1.31,7.74,,,,0.251
2021-03-03,Arkansas,687433,964840,441126,8.03,22.78,242346,14.62,31.97,16618,18995,6294,0.712
2021-03-02,Arkansas,670815,963040,430748,7.82,22.23,236154,14.27,31.91,9243,18660,6183,0.697
2021-03-01,Arkansas,661572,892660,424534,7.72,21.92,233135,14.07,29.58,12261,18023,5972,0.741
2021-02-28,Arkansas,649311,892660,418453,7.52,21.52,226968,13.87,29.58,26646,17263,5720,0.727
2021-02-27,Arkansas,622665,892660,404883,7.09,20.63,213974,13.42,29.58,24675,14537,4817,0.698
2021-02-26,Arkansas,597990,861230,394007,6.64,19.81,200253,13.06,28.54,25437,11531,3821,0.694
2021-02-25,Arkansas,572553,826130,384549,6.11,18.97,184346,12.74,27.38,18087,11688,3873,0.693
2021-02-24,Arkansas,554466,816730,378225,5.72,18.37,172653,12.53,27.06,14274,9645,3196,0.679
2021-02-23,Arkansas,540192,794230,372786,5.43,17.9,163848,12.35,26.32,4779,8108,2687,0.68
2021-02-22,Arkansas,535413,691525,370403,5.35,17.74,161470,12.27,22.92,6946,8204,2719,0.774
2021-02-21,Arkansas,528467,691525,367436,5.22,17.51,157511,12.18,22.92,7563,7990,2648,0.764
2021-02-20,Arkansas,520904,691525,364735,5.06,17.26,152675,12.09,22.92,3633,9074,3007,0.753
2021-02-19,Arkansas,517271,691525,362972,5,17.14,150812,12.03,22.92,26534,10018,3320,0.748
2021-02-18,Arkansas,490737,664225,346623,4.66,16.26,140662,11.49,22.01,3788,8562,2837,0.739
2021-02-17,Arkansas,486949,649225,345271,4.58,16.14,138254,11.44,21.51,3511,9842,3261,0.75
2021-02-16,Arkansas,483438,631675,343637,4.52,16.02,136415,11.39,20.93,5451,11330,3754,0.765
2021-02-15,Arkansas,,,,,,,,,5451,10903,3613,
2021-02-14,Arkansas,472536,630700,338611,4.33,15.66,130637,11.22,20.9,15150,11299,3744,0.749
2021-02-13,Arkansas,457386,630700,330146,4.11,15.16,124040,10.94,20.9,10240,11816,3915,0.725
2021-02-12,Arkansas,447146,629900,325562,3.93,14.82,118465,10.79,20.87,16343,13710,4543,0.71
2021-02-11,Arkansas,430803,593775,316972,3.67,14.27,110751,10.5,19.68,12749,13225,4382,0.726
2021-02-10,Arkansas,418054,581875,311339,3.44,13.85,103669,10.32,19.28,13927,13658,4526,0.718
2021-02-09,Arkansas,404127,580775,305917,3.16,13.39,95202,10.14,19.24,2463,12808,4244,0.696
2021-02-08,Arkansas,401664,540050,304604,3.12,13.31,94058,10.09,17.9,8219,12919,4281,0.744
2021-02-07,Arkansas,393445,540050,300139,2.99,13.04,90308,9.95,17.9,18771,12807,4244,0.729
2021-02-06,Arkansas,374674,540050,290153,2.7,12.42,81564,9.62,17.9,23499,12289,4072,0.694
2021-02-05,Arkansas,351175,535550,274459,2.45,11.64,73810,9.1,17.75,12948,11597,3843,0.656
2021-02-04,Arkansas,338227,516925,266563,2.28,11.21,68778,8.83,17.13,15780,12200,4043,0.654
2021-02-03,Arkansas,322447,499325,256307,2.1,10.68,63356,8.49,16.55,7977,9946,3296,0.646
2021-02-02,Arkansas,314470,467800,251841,1.98,10.42,59903,8.34,15.5,3240,11169,3701,0.672
2021-02-01,Arkansas,311230,453700,249943,1.94,10.31,58613,8.28,15.03,7437,12876,4267,0.686
2021-01-31,Arkansas,303793,453700,244867,1.86,10.07,56264,8.11,15.03,15142,12793,4239,0.67
2021-01-30,Arkansas,288651,453700,233935,1.73,9.56,52118,7.75,15.03,18658,12425,4117,0.636
2021-01-29,Arkansas,269993,453500,221552,1.52,8.95,45918,7.34,15.03,17169,9760,3234,0.595
2021-01-28,Arkansas,252824,453300,209445,1.36,8.38,40910,6.94,15.02,0,11359,3764,0.558
2021-01-27,Arkansas,252824,406175,209445,1.36,8.38,40910,6.94,13.46,16534,11359,3764,0.622
2021-01-26,Arkansas,236290,394775,196815,1.23,7.83,37055,6.52,13.08,15195,13422,4448,0.599
2021-01-25,Arkansas,221095,368650,185546,1.1,7.33,33159,6.15,12.22,6855,12108,4012,0.6
2021-01-24,Arkansas,214240,368650,179290,1.08,7.1,32572,5.94,12.22,12564,11986,3972,0.581
2021-01-23,Arkansas,201676,368650,167788,1.05,6.68,31600,5.56,12.22,0,11048,3661,0.547
2021-01-22,Arkansas,201676,362050,167788,1.05,6.68,31600,5.56,12,28364,11905,3945,0.557
2021-01-21,Arkansas,173312,361550,144792,0.88,5.74,26541,4.8,11.98,0,9285,3077,0.479
2021-01-20,Arkansas,173312,334825,144792,0.88,5.74,26541,4.8,11.1,30975,11208,3714,0.518
2021-01-19,Arkansas,142337,297800,118763,0.72,4.72,21734,3.94,9.87,5999.75,14494,4803,0.478
2021-01-18,Arkansas,,,,,,,,,5999.75,15910,5272,
2021-01-17,Arkansas,,,,,,,,,5999.75,17892,5929,
2021-01-16,Arkansas,,,,,,,,,5999.75,20865,6914,
2021-01-15,Arkansas,118338,297800,97829,0.62,3.92,18781,3.24,9.87,10022,25820,8556,0.397
2021-01-14,Arkansas,108316,297800,90339,,3.59,,2.99,9.87,13462,33718,11173,0.364
2021-01-13,Arkansas,94854,297800,80458,0.43,3.14,12849,2.67,9.87,53975,53975,17886,0.319
2021-01-12,Arkansas,40879,274400,39357,0,1.36,8,1.3,9.09,,,,0.149
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2021-03-03,California,9731169,12776090,6672891,7.59,24.63,2997721,16.89,32.34,234044,265023,6707,0.762
